iter,T,current_profit,best_profit,neighbor_profit,accepted
475,0.00679808,27992.8,27992.8,27955.9,0
476,0.00666211,27992.8,27992.8,27922.8,0
477,0.00652887,27992.8,27992.8,27857.1,0
478,0.00639829,27992.8,27992.8,27973.1,0
479,0.00627033,27992.8,27992.8,27961.1,0
480,0.00614492,27992.8,27992.8,28013.1,1
481,0.00602202,28013.1,28013.1,28022.8,1
482,0.00590158,28022.8,28022.8,27943.6,0
483,0.00578355,28022.8,28022.8,27994.4,0
484,0.00566788,28022.8,28022.8,27963.5,0
485,0.00555452,28022.8,28022.8,27989.5,0
486,0.00544343,28022.8,28022.8,27870.9,0
487,0.00533456,28022.8,28022.8,27870.9,0
488,0.00522787,28022.8,28022.8,27936.1,0
489,0.00512331,28022.8,28022.8,28001.1,0
490,0.00502085,28022.8,28022.8,27915.5,0
491,0.00492043,28022.8,28022.8,28006.4,0
492,0.00482202,28022.8,28022.8,27991.5,0
493,0.00472558,28022.8,28022.8,27990.1,0
494,0.00463107,28022.8,28022.8,27966.5,0
495,0.00453845,28022.8,28022.8,28019.7,0
496,0.00444768,28022.8,28022.8,28022.9,1
497,0.00435873,28022.9,28022.9,28017.7,0
498,0.00427155,28022.9,28022.9,28049.8,1
499,0.00418612,28049.8,28049.8,27898.5,0
500,0.0041024,28049.8,28049.8,28007.2,0
501,0.00402035,28049.8,28049.8,28005.9,0
502,0.00393994,28049.8,28049.8,28029.6,0
503,0.00386114,28049.8,28049.8,28029.6,0
504,0.00378392,28049.8,28049.8,28044.6,0
505,0.00370824,28049.8,28049.8,28032.9,0
506,0.00363408,28049.8,28049.8,27904.1,0
507,0.0035614,28049.8,28049.8,28016.3,0
508,0.00349017,28049.8,28049.8,27978.9,0
509,0.00342037,28049.8,28049.8,28010.4,0
510,0.00335196,28049.8,28049.8,28033.3,0
511,0.00328492,28049.8,28049.8,28022.5,0
512,0.00321922,28049.8,28049.8,27952.6,0
513,0.00315484,28049.8,28049.8,27986,0
514,0.00309174,28049.8,28049.8,28012.4,0
515,0.0030299,28049.8,28049.8,27967,0
516,0.00296931,28049.8,28049.8,27893.1,0
517,0.00290992,28049.8,28049.8,28014.5,0
518,0.00285172,28049.8,28049.8,28017.5,0
519,0.00279469,28049.8,28049.8,28038.5,0
520,0.00273879,28049.8,28049.8,27945.1,0
521,0.00268402,28049.8,28049.8,27982.4,0
522,0.00263034,28049.8,28049.8,27966.1,0
523,0.00257773,28049.8,28049.8,28043.9,0
524,0.00252618,28049.8,28049.8,27998.6,0
525,0.00247565,28049.8,28049.8,28109.4,1
526,0.00242614,28109.4,28109.4,28047.7,0
527,0.00237762,28109.4,28109.4,28058.1,0
528,0.00233006,28109.4,28109.4,28085.8,0
529,0.00228346,28109.4,28109.4,28065.9,0
530,0.00223779,28109.4,28109.4,28020.5,0
531,0.00219304,28109.4,28109.4,28099.4,0
532,0.00214918,28109.4,28109.4,28060.8,0
533,0.00210619,28109.4,28109.4,28102.1,0
534,0.00206407,28109.4,28109.4,28042,0
535,0.00202279,28109.4,28109.4,28089.8,0
536,0.00198233,28109.4,28109.4,28064.2,0
537,0.00194269,28109.4,28109.4,28034.3,0
538,0.00190383,28109.4,28109.4,27994.3,0
539,0.00186576,28109.4,28109.4,28059.5,0
540,0.00182844,28109.4,28109.4,28070.5,0
541,0.00179187,28109.4,28109.4,27972.2,0
542,0.00175603,28109.4,28109.4,27963.7,0
543,0.00172091,28109.4,28109.4,28072.4,0
544,0.0016865,28109.4,28109.4,28081.3,0
545,0.00165277,28109.4,28109.4,28043.4,0
546,0.00161971,28109.4,28109.4,28085.1,0
547,0.00158732,28109.4,28109.4,28063.2,0
548,0.00155557,28109.4,28109.4,28069.9,0
549,0.00152446,28109.4,28109.4,28056.3,0
550,0.00149397,28109.4,28109.4,28042.3,0
551,0.00146409,28109.4,28109.4,27984.4,0
